2025-08-16 13:48:32 | INFO     | setup_logging        | ================================================================================
2025-08-16 13:48:32 | INFO     | setup_logging        | STEGANOGRAPHY SESSION STARTED
2025-08-16 13:48:32 | INFO     | setup_logging        | ================================================================================
2025-08-16 13:48:32 | INFO     | setup_logging        | Session ID: session_20250816_134832
2025-08-16 13:48:32 | INFO     | setup_logging        | Timestamp: 2025-08-16 13:48:32.181559
2025-08-16 13:48:32 | INFO     | setup_logging        | Python Version: 3.13.5 (tags/v3.13.5:6cb20a2, Jun 11 2025, 16:15:46) [MSC v.1943 64 bit (AMD64)]
2025-08-16 13:48:32 | INFO     | setup_logging        | Working Directory: C:\Users\mdred\Music\image\Scripts
2025-08-16 13:48:32 | INFO     | setup_logging        | Session Log: Output/Sessions/session_20250816_134832/logs\execution_log_20250816_134832.txt
2025-08-16 13:48:32 | INFO     | setup_logging        | Main Log: Output/Logs\steganography_log_20250816_134832.txt
2025-08-16 13:48:32 | INFO     | setup_logging        | ================================================================================
2025-08-16 13:48:36 | INFO     | <module>             | User selected option: 1
2025-08-16 13:48:36 | INFO     | test_precision_fixed_structured | Starting precision-fixed steganography test with structured organization
2025-08-16 13:50:34 | INFO     | test_precision_fixed_structured | Image path provided: c:/User/mdred/Pictures/lomDemo1.jpg
2025-08-16 13:50:46 | INFO     | test_precision_fixed_structured | Secret message length: 15 characters
2025-08-16 13:50:46 | DEBUG    | test_precision_fixed_structured | Secret message content: 'tumi kamon acho'
2025-08-16 13:50:46 | INFO     | test_precision_fixed_structured | Attempting to load image: c:/User/mdred/Pictures/lomDemo1.jpg
2025-08-16 13:50:46 | ERROR    | test_precision_fixed_structured | Could not load image from 'c:/User/mdred/Pictures/lomDemo1.jpg'
2025-08-16 13:50:46 | INFO     | <module>             | ================================================================================
2025-08-16 13:50:46 | INFO     | <module>             | STEGANOGRAPHY SESSION COMPLETED
2025-08-16 13:50:46 | INFO     | <module>             | ================================================================================
